CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	89.467	5250	20155	25395	1531474	1536691
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	75.205	8421	5641	13935	1290880	1299129
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	83.300	3527	3664	7168	1526997	1530483
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	75.783	6388	13072	19368	1290660	1296915
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	84.476	3034	488	3505	1523962	1526976
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	81.090	3506	11324	14809	1526998	1530483
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	86.906	2505	33570	36049	1541643	1544121
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	86.698	2308	37890	40192	1547229	1549522
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	76.916	4631	5426	9981	1513786	1518344
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.260	3620	491	4059	1526998	1530554
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	74.812	4923	2339	7167	2042517	2037679
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	79.043	3092	3662	6714	1523962	1526996
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.629	3079	11321	14353	1523962	1526994
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	75.146	4116	2	4042	2041670	2037624
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	77.016	2976	11432	14354	1521025	1523962
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	76.736	2966	599	3506	1521025	1523944
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	85.202	1311	27785	29091	1537395	1538677
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	84.266	1144	32379	33519	1540399	1541539
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.617	1735	17588	19298	1513801	1515511
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.468	1723	17588	19287	1290680	1292382
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.184	1751	2247	3983	1513790	1515511
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	76.480	1875	9871	11718	1528707	1530554
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	77.065	1731	9929	11632	1290680	1292383
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	76.474	1815	5383	7168	1295089	1296850
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	79.037	1350	9862	11195	1522629	1523962
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.920	1352	17516	18850	1525660	1526994
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	75.748	1872	9871	11692	2039475	2037633
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	75.645	1745	9911	11642	1513783	1515511
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	75.135	1858	17565	19371	2042621	2040790
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	75.742	1550	5632	7146	2042407	2040880
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	79.349	799	6	796	1291599	1292377
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	87.309	457	27315	27769	1536862	1537314
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.600	757	146	893	1299374	1300111
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	78.514	740	3323	4051	1299377	1300099
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	82.258	310	6839	7147	1523962	1524270
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	77.990	418	39766	40172	552317	551911
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	84.756	164	6983	7146	1521058	1521221
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	76.471	323	18119	18429	1298807	1299126
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	74.266	443	10825	11256	1519197	1519622
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	73.799	458	6326	6774	1519189	1519622
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	95.556	45	37645	37689	3826287	3826331
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	95.556	45	37701	37745	3826287	3826331
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	97.619	42	37873	37914	3826291	3826332
CBC-1-assembly_contig_13:1-40197	NZ_CP106873.1	97.561	41	37817	37857	3826291	3826331
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	84.714	11108	4	11037	1523307	1512259
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	76.997	2278	9	2253	1529377	1527139
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	78.316	1568	7797	9336	1530469	1528927
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	73.984	2337	14	2318	2038816	2041105
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	78.964	1293	8236	9517	1526994	1525713
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	72.911	2226	11	2199	1298883	1296719
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	84.615	312	7797	8106	1527307	1526998
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	83.974	312	7804	8109	1524270	1523962
CBC-1-assembly_contig_15:1-30650	NZ_CP106873.1	93.220	59	16462	16519	1509093	1509036
CBC-1-assembly_contig_22:1-12876	NZ_CP106873.1	78.677	6106	3054	9104	1290880	1296894
CBC-1-assembly_contig_22:1-12876	NZ_CP106873.1	76.816	4460	2998	7389	1513945	1518339
CBC-1-assembly_contig_22:1-12876	NZ_CP106873.1	77.762	2815	2	2783	1292327	1295102
CBC-1-assembly_contig_22:1-12876	NZ_CP106873.1	80.875	2149	8398	10519	1299374	1301501
CBC-1-assembly_contig_22:1-12876	NZ_CP106873.1	78.767	1573	7483	9039	1290824	1292377
CBC-1-assembly_contig_22:1-12876	NZ_CP106873.1	78.439	1512	3049	4556	1295339	1296825
